stem,kind,wire_bytes,decoded_bytes,elapsed_seconds,attempts,http_status,worker,n_workers,runner_tag,hostname,platform,timestamp_utc
AF-0000000065767144,homodimer,119094,516702,0.397,1,-200,1,2,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:14:02+00:00
AF-0000000065766748,homodimer,177809,789593,0.8837,1,-200,0,2,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:14:02+00:00
AF-0000000065767340,homodimer,117205,508802,0.3376,1,-200,0,2,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:14:02+00:00
AF-0000000065767241,homodimer,117826,511009,0.3653,1,-200,1,2,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:14:02+00:00
AF-0000000065769148,homodimer,190467,843229,0.4918,1,-200,1,2,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:14:02+00:00
AF-0000000065767672,homodimer,202691,895339,0.5051,1,-200,0,2,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:14:02+00:00
AF-0000000065770090,homodimer,32500,126284,0.2242,1,-200,1,2,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:14:02+00:00
AF-0000000065760022,homodimer,40677,161933,0.4373,1,-200,0,1,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:14:23+00:00
AF-0000000065760376,homodimer,76774,325991,0.3499,1,-200,0,1,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:14:23+00:00
AF-0000000065760534,homodimer,99557,429381,0.4477,1,-200,0,1,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:14:23+00:00
AF-0000000065761076,homodimer,58629,240812,0.3133,1,-200,0,1,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:14:23+00:00
AF-0000000065761985,homodimer,100817,434383,0.3956,1,-200,0,1,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:14:23+00:00
AF-0000000065762141,homodimer,64271,268505,0.3102,1,-200,0,1,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:14:23+00:00
AF-0000000065762431,homodimer,137427,604141,0.4756,1,-200,0,1,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:14:23+00:00
