dataset,window,byte_offset,n_rows,top_organism,top_organism_share,iptm_ge_0.8,authors_gate
heterodimer,175,2153409588,632,9606,0.6551,0.0063,0.0158
heterodimer,176,2165679728,632,9606,0.6487,0.0047,0.0079
heterodimer,177,2177949868,637,9606,0.5651,0.0031,0.0016
heterodimer,178,2190220008,636,9606,0.6368,0.0063,0.0
heterodimer,179,2202490148,627,9606,0.5837,0.0064,0.0032
heterodimer,180,2214760288,624,9606,0.6571,0.0048,0.0032
heterodimer,181,2227030429,624,9606,0.6923,0.0272,0.0208
heterodimer,182,2239300569,627,9606,0.6316,0.0016,0.0048
heterodimer,183,2251570709,623,7955,0.6613,0.0128,0.0161
heterodimer,184,2263840849,617,4577,0.3501,0.0065,0.0049
heterodimer,185,2276110989,616,3847,1.0,0.0065,0.0097
heterodimer,186,2288381129,613,7955,0.6591,0.0016,0.0147
heterodimer,187,2300651269,611,3847,1.0,0.0049,0.0049
heterodimer,188,2312921409,613,3847,0.5155,0.0033,0.0049
heterodimer,189,2325191549,613,3847,0.7863,0.0016,0.0098
heterodimer,190,2337461690,617,3847,1.0,0.0049,0.0081
heterodimer,191,2349731830,630,39947,0.6778,0.0079,0.0175
heterodimer,192,2362001970,608,3847,0.5493,0.0049,0.0099
heterodimer,193,2374272110,614,3847,1.0,0.0065,0.0098
heterodimer,194,2386542250,619,3847,1.0,0.0048,0.0081
heterodimer,195,2398812390,607,39947,1.0,0.0066,0.0049
heterodimer,196,2411082530,615,3847,1.0,0.0033,0.0081
heterodimer,197,2423352670,615,3847,1.0,0.0098,0.0114
heterodimer,198,2435622810,609,3847,0.5074,0.0082,0.0099
heterodimer,199,2447892950,658,99287,0.1201,0.0137,0.0152
