protein_hash,n_res_metric,contact_ratio,plddt_std
09b89fea35662cd068a5db36b5d695fd,162,0.5185185185185185,0.17884976150301596
09b8a005905692d9dc16dd333b59ae9b,163,0.6073619631901841,0.11209775810231372
09b8a047d4777a2bb52fd17e7841eec0,159,0.06289308176100629,0.11249844673616137
09b8a1c17b4c39e5e0c985217436c48a,165,0.703030303030303,0.15499638858206283
09b8a21265c85827437283df1f26ffde,165,0.4484848484848485,0.1559152842367249
09b8a2ae5182171ce320e2234c1812ed,164,0.8658536585365854,0.08495049095009585
09b8a35e4f3c61eee0cf0ac3db93d25f,162,0.5617283950617284,0.06513057277139117
09b8a3adef3c6aef905f7d1cbd974a71,163,0.3312883435582822,0.1688927564439799
09b8a46fe7700155fbdbc6b7bab08935,165,0.696969696969697,0.12640510231200544
09b8a484689c123173ac173004a86b79,161,0.4782608695652174,0.10704382460011606
09b8a515c554641a9f9fb5689cbfd06d,162,0.4074074074074074,0.11374818122219366
09b8a5bcf420320c5c54ad1a6de76c75,161,0.5652173913043478,0.22038496179785538
09b8a72c154ee9441ccdfd11e71eded6,164,0.7865853658536586,0.08859519669655516
09b8a82ef076a3ef76ca541d4185b3c3,162,0.845679012345679,0.15869297524931048
09b8a8d9c3932d0c5c2dc51691663cbd,163,0.8159509202453987,0.2057601464805571
09b8a8e02c6a437ac5c18fab9f9a05d9,161,0.7950310559006211,0.1079606796161769
09b8a933662007f4dc687a344d9611b9,159,0.25157232704402516,0.06976098970033492
09b8a9672c6943852c85e155df2e7f52,163,0.7116564417177914,0.1587629163860503
09b8aa3a46fd69e7256cbd3393092a23,163,0.7730061349693251,0.1941254466060939
09b8aa3c54480e2678f7d83566198322,161,0.40372670807453415,0.07820297933593008
09b8ab35a1b62cfa44e88bbd6f4891e4,164,0.7073170731707317,0.14063967078439202
09b8ada6e07778da12b09e063155e496,163,0.7239263803680982,0.08287188819901385
09b8adc12bfc91b18b010321d9aa91c8,164,0.2073170731707317,0.11539440283006229
09b8ae1a0129a36798b248548f139cdb,163,0.04294478527607362,0.14762438926060775
09b8ae8b93e736f644d38f9610aa94c9,159,0.012578616352201259,0.1405526481197271
09b8aef2f856078dbaf767080abb48e0,164,0.4573170731707317,0.12220657823253613
09b8b03fcc5cc068d28a8ee12311fadf,161,0.5900621118012422,0.18349866928686298
09b8b241f8a91a3c258fedff209b145b,159,0.4088050314465409,0.1741602946653508
09b8b30677747e95b881b36814d5492b,163,0.5828220858895705,0.1389214298999052
09b8b336b589fbf524b9923b5c0f8fb2,160,0.66875,0.1531057465365022
09b8b35680a269b4315e6c5440ec299b,159,0.6729559748427673,0.21344474167385588
09b8b3628ee12eb223bb5fd391fce9b2,164,0.6341463414634146,0.1895612787525919
09b8b4f6487f963c65b4be8b48238092,164,0.524390243902439,0.16708463646436844
09b8b7916beb7aa2b8dc1b5ff356b025,159,0.7358490566037735,0.1636552897760815
09b8b7f297cbcba9dc64a7bf4915f479,160,0.68125,0.06815776590080737
09b8b953d7a55a9f4ed12477ab0b5e9f,164,0.6158536585365854,0.20780359232450515
09b8ba719b1b0027bf665bb1ac44ccc0,159,0.4276729559748428,0.15841964687619814
09b8ba8a87d8cda887b5e8de483798c6,164,0.6890243902439024,0.1413697204163382
09b8bbe0555440447bb4c903f309bd51,159,0.779874213836478,0.18022720266363693
09b8bc34b2b51f7d7520108ee203144d,161,0.782608695652174,0.07058460691209484
09b8bca2cbf133af982a142ef2fd8173,159,0.7295597484276729,0.08130958078639482
09b8bcf5d31cf165c83b0c3012d4f7a9,164,0.6463414634146342,0.040861054748301505
09b8bd006ae5157f7dce3516a988cd9f,162,0.5987654320987654,0.20928614718951624
09b8bd24cbef82320fc3310448e51dea,162,0.5185185185185185,0.1356584465307659
09b8be0b71a3f4873c9a49565031ce70,159,0.48427672955974843,0.13525212866624634
09b8be78d8180d574dbde59f07b47e24,160,0.46875,0.07075157126353265
09b8c079cddd6936ef9e156437e7109d,163,0.6012269938650306,0.1250127792959026
09b8c0ab244d49cbfe2f10f3e216ca46,159,0.7358490566037735,0.10049097846084651
09b8c0d745f204ed29e3e98b80330f1c,163,0.49693251533742333,0.17364065184377112
09b8c19ed563341a721a4a37fb0c36f4,159,0.710691823899371,0.06888099736273598
09b8c476390668f50479723218b24854,161,0.5590062111801242,0.051509485965257965
09b8c481efd761d0d7340de676792c73,162,0.3333333333333333,0.05611723348116908
09b8c505c9c97ff93527ee9283e3684e,159,0.031446540880503145,0.09161905147234639
09b8c6b086b261e3fd036a322355a345,159,0.6415094339622641,0.10448186203949485
