metric,n,mean,q00,q05,q25,q50,q75,q95,q100
seq_len,100000,202.2365,60.0,66.0,90.0,143.0,251.0,563.0,1000.0
mean_plddt,100000,0.6141250171911716,0.18175247311592102,0.3288755849003792,0.46335282921791077,0.613400936126709,0.7719321846961975,0.8907427996397017,0.9675328135490417
ptm,100000,0.45659577388852834,0.06719709187746048,0.13508583083748818,0.23122462630271912,0.4017415940761566,0.679234579205513,0.889096450805664,0.9647445678710938
