source,n,fraction
spire,197366905,0.4627174757005864
mgy,151696548,0.35564546023079624
uniparc,43393625,0.10173432380417506
umag_prok,12397988,0.029066502872536617
img_m,12298991,0.02883440903724072
img_vr,6735913,0.01579203291402256
uhgg,2051067,0.004808630630007471
umag_euk,597651,0.0014011648106349499
